,ANO,MÊS,GRANDE REGIÃO,UNIDADE DA FEDERAÇÃO,PRODUTOR,PRODUTO,PRODUÇÃO
6704,2010,FEV,REGIÃO SUL,RIO GRANDE DO SUL,OLEOPLAN,BIODIESEL,"14316,742"
6705,2010,MAR,REGIÃO SUL,RIO GRANDE DO SUL,OLEOPLAN,BIODIESEL,"15640,785"
6706,2010,JAN,REGIÃO SUL,RIO GRANDE DO SUL,OLEOPLAN,BIODIESEL,"13924,656"
6707,2010,JUN,REGIÃO SUL,RIO GRANDE DO SUL,OLEOPLAN,BIODIESEL,"13105,082"
6708,2010,JUL,REGIÃO SUL,RIO GRANDE DO SUL,OLEOPLAN,BIODIESEL,"16548,307"
6709,2010,ABR,REGIÃO SUL,RIO GRANDE DO SUL,OLEOPLAN,BIODIESEL,"17845,778"
6710,2010,MAI,REGIÃO SUL,RIO GRANDE DO SUL,OLEOPLAN,BIODIESEL,"15663,59"
6711,2010,AGO,REGIÃO SUL,RIO GRANDE DO SUL,OLEOPLAN,BIODIESEL,"17034,638"
6712,2010,NOV,REGIÃO SUL,RIO GRANDE DO SUL,OLEOPLAN,BIODIESEL,"18590,603"
6713,2010,DEZ,REGIÃO SUL,RIO GRANDE DO SUL,OLEOPLAN,BIODIESEL,"21083,514"
6714,2010,SET,REGIÃO SUL,RIO GRANDE DO SUL,OLEOPLAN,BIODIESEL,"18784,234"
6715,2010,OUT,REGIÃO SUL,RIO GRANDE DO SUL,OLEOPLAN,BIODIESEL,"13606,595"
6716,2010,OUT,REGIÃO NORDESTE,BAHIA,PETROBRAS (CANDEIAS),BIODIESEL,"3854,2"
6717,2010,NOV,REGIÃO NORDESTE,BAHIA,PETROBRAS (CANDEIAS),BIODIESEL,"4277,4"
6718,2010,AGO,REGIÃO NORDESTE,BAHIA,PETROBRAS (CANDEIAS),BIODIESEL,"7127,1"
6719,2010,SET,REGIÃO NORDESTE,BAHIA,PETROBRAS (CANDEIAS),BIODIESEL,"9970,6"
6720,2010,DEZ,REGIÃO NORDESTE,BAHIA,PETROBRAS (CANDEIAS),BIODIESEL,4331
6721,2010,MAR,REGIÃO SUDESTE,MINAS GERAIS,PETROBRAS (MONTES CLAROS),BIODIESEL,5810
6722,2010,ABR,REGIÃO SUDESTE,MINAS GERAIS,PETROBRAS (MONTES CLAROS),BIODIESEL,"6112,9"
6723,2010,JAN,REGIÃO SUDESTE,MINAS GERAIS,PETROBRAS (MONTES CLAROS),BIODIESEL,"3670,3"
6724,2010,FEV,REGIÃO SUDESTE,MINAS GERAIS,PETROBRAS (MONTES CLAROS),BIODIESEL,"5486,7"
6725,2010,JAN,REGIÃO NORDESTE,BAHIA,PETROBRAS (CANDEIAS),BIODIESEL,"4189,229"
6726,2010,FEV,REGIÃO NORDESTE,BAHIA,PETROBRAS (CANDEIAS),BIODIESEL,"5433,9"
6727,2010,MAR,REGIÃO NORDESTE,BAHIA,PETROBRAS (CANDEIAS),BIODIESEL,6500
6728,2010,JUN,REGIÃO NORDESTE,BAHIA,PETROBRAS (CANDEIAS),BIODIESEL,5478
6729,2010,JUL,REGIÃO NORDESTE,BAHIA,PETROBRAS (CANDEIAS),BIODIESEL,"2469,4"
6730,2010,ABR,REGIÃO NORDESTE,BAHIA,PETROBRAS (CANDEIAS),BIODIESEL,"4003,8"
6731,2010,MAI,REGIÃO NORDESTE,BAHIA,PETROBRAS (CANDEIAS),BIODIESEL,"7964,4"
6732,2010,JUL,REGIÃO SUDESTE,MINAS GERAIS,PETROBRAS (MONTES CLAROS),BIODIESEL,"8611,3"
6733,2010,AGO,REGIÃO SUDESTE,MINAS GERAIS,PETROBRAS (MONTES CLAROS),BIODIESEL,"6809,9"
6734,2010,MAI,REGIÃO SUDESTE,MINAS GERAIS,PETROBRAS (MONTES CLAROS),BIODIESEL,6726
6735,2010,JUN,REGIÃO SUDESTE,MINAS GERAIS,PETROBRAS (MONTES CLAROS),BIODIESEL,"7729,8"
6736,2010,SET,REGIÃO SUDESTE,MINAS GERAIS,PETROBRAS (MONTES CLAROS),BIODIESEL,"6646,3"
6737,2010,DEZ,REGIÃO SUDESTE,MINAS GERAIS,PETROBRAS (MONTES CLAROS),BIODIESEL,"3299,2"
6738,2010,OUT,REGIÃO SUDESTE,MINAS GERAIS,PETROBRAS (MONTES CLAROS),BIODIESEL,"4014,9"
6739,2010,NOV,REGIÃO SUDESTE,MINAS GERAIS,PETROBRAS (MONTES CLAROS),BIODIESEL,"5370,3"
6740,2010,MAR,REGIÃO NORDESTE,CEARÁ,PETROBRAS (QUIXADA),BIODIESEL,"5922,2"
6741,2010,ABR,REGIÃO NORDESTE,CEARÁ,PETROBRAS (QUIXADA),BIODIESEL,6676
6742,2010,JAN,REGIÃO NORDESTE,CEARÁ,PETROBRAS (QUIXADA),BIODIESEL,"4205,3"
6743,2010,FEV,REGIÃO NORDESTE,CEARÁ,PETROBRAS (QUIXADA),BIODIESEL,"4204,8"
6744,2010,FEV,REGIÃO NORTE,RONDÔNIA,OURO VERDE,BIODIESEL,4
6745,2010,JUL,REGIÃO NORDESTE,CEARÁ,PETROBRAS (QUIXADA),BIODIESEL,"8271,7"
6746,2010,AGO,REGIÃO NORDESTE,CEARÁ,PETROBRAS (QUIXADA),BIODIESEL,"6129,9"
6747,2010,MAI,REGIÃO NORDESTE,CEARÁ,PETROBRAS (QUIXADA),BIODIESEL,"7417,4"
6748,2010,JUN,REGIÃO NORDESTE,CEARÁ,PETROBRAS (QUIXADA),BIODIESEL,5420
6749,2010,SET,REGIÃO NORDESTE,CEARÁ,PETROBRAS (QUIXADA),BIODIESEL,7050
6750,2010,DEZ,REGIÃO NORDESTE,CEARÁ,PETROBRAS (QUIXADA),BIODIESEL,"3814,53"
6751,2010,OUT,REGIÃO NORDESTE,CEARÁ,PETROBRAS (QUIXADA),BIODIESEL,"2250,4"
6752,2010,NOV,REGIÃO NORDESTE,CEARÁ,PETROBRAS (QUIXADA),BIODIESEL,"4974,4"
6753,2010,DEZ,REGIÃO CENTRO-OESTE,GOIÁS,BINATURAL,BIODIESEL,"6881,032"
6754,2010,MAI,REGIÃO CENTRO-OESTE,GOIÁS,BINATURAL,BIODIESEL,"7471,315"
6755,2010,JUN,REGIÃO CENTRO-OESTE,GOIÁS,BINATURAL,BIODIESEL,"5863,324"
6756,2010,MAR,REGIÃO CENTRO-OESTE,GOIÁS,BINATURAL,BIODIESEL,"7418,402"
6757,2010,ABR,REGIÃO CENTRO-OESTE,GOIÁS,BINATURAL,BIODIESEL,"3882,164"
6758,2010,JUL,REGIÃO CENTRO-OESTE,GOIÁS,BINATURAL,BIODIESEL,"5232,066"
6759,2010,OUT,REGIÃO CENTRO-OESTE,GOIÁS,BINATURAL,BIODIESEL,"6776,877"
6760,2010,NOV,REGIÃO CENTRO-OESTE,GOIÁS,BINATURAL,BIODIESEL,"5845,636"
6761,2010,AGO,REGIÃO CENTRO-OESTE,GOIÁS,BINATURAL,BIODIESEL,"7046,163"
6762,2010,SET,REGIÃO CENTRO-OESTE,GOIÁS,BINATURAL,BIODIESEL,"2873,054"
6763,2010,AGO,REGIÃO CENTRO-OESTE,MATO GROSSO DO SUL,BIOCAR,BIODIESEL,"627,436"
6764,2010,SET,REGIÃO CENTRO-OESTE,MATO GROSSO DO SUL,BIOCAR,BIODIESEL,"503,037"
6765,2010,JUN,REGIÃO CENTRO-OESTE,MATO GROSSO DO SUL,BIOCAR,BIODIESEL,"781,316"
6766,2010,JUL,REGIÃO CENTRO-OESTE,MATO GROSSO DO SUL,BIOCAR,BIODIESEL,"758,586"
6767,2010,OUT,REGIÃO CENTRO-OESTE,MATO GROSSO DO SUL,BIOCAR,BIODIESEL,"447,468"
6768,2010,JAN,REGIÃO CENTRO-OESTE,MATO GROSSO,BIO OLEO,BIODIESEL,"229,55"
6769,2010,FEV,REGIÃO CENTRO-OESTE,MATO GROSSO,BIO OLEO,BIODIESEL,"264,755"
6770,2010,NOV,REGIÃO CENTRO-OESTE,MATO GROSSO DO SUL,BIOCAR,BIODIESEL,"122,312"
6771,2010,DEZ,REGIÃO CENTRO-OESTE,MATO GROSSO DO SUL,BIOCAR,BIODIESEL,"235,978"
6772,2010,JAN,REGIÃO CENTRO-OESTE,MATO GROSSO DO SUL,BIOCAR,BIODIESEL,"692,341"
6773,2010,ABR,REGIÃO CENTRO-OESTE,MATO GROSSO DO SUL,BIOCAR,BIODIESEL,"718,673"
6774,2010,MAI,REGIÃO CENTRO-OESTE,MATO GROSSO DO SUL,BIOCAR,BIODIESEL,"613,71"
6775,2010,FEV,REGIÃO CENTRO-OESTE,MATO GROSSO DO SUL,BIOCAR,BIODIESEL,"769,841"
6776,2010,MAR,REGIÃO CENTRO-OESTE,MATO GROSSO DO SUL,BIOCAR,BIODIESEL,"908,256"
6777,2010,DEZ,REGIÃO SUDESTE,SÃO PAULO,JBS (EX-BRACOL EX-BERTIN),BIODIESEL,"12275,65"
6778,2010,MAI,REGIÃO SUDESTE,SÃO PAULO,JBS (EX-BRACOL EX-BERTIN),BIODIESEL,"11316,348"
6779,2010,JUN,REGIÃO SUDESTE,SÃO PAULO,JBS (EX-BRACOL EX-BERTIN),BIODIESEL,"11361,514"
6780,2010,MAR,REGIÃO SUDESTE,SÃO PAULO,JBS (EX-BRACOL EX-BERTIN),BIODIESEL,"10191,037"
6781,2010,ABR,REGIÃO SUDESTE,SÃO PAULO,JBS (EX-BRACOL EX-BERTIN),BIODIESEL,"9001,495"
6782,2010,JUL,REGIÃO SUDESTE,SÃO PAULO,JBS (EX-BRACOL EX-BERTIN),BIODIESEL,"9107,148"
6783,2010,OUT,REGIÃO SUDESTE,SÃO PAULO,JBS (EX-BRACOL EX-BERTIN),BIODIESEL,"11207,398"
6784,2010,NOV,REGIÃO SUDESTE,SÃO PAULO,JBS (EX-BRACOL EX-BERTIN),BIODIESEL,"11980,132"
6785,2010,AGO,REGIÃO SUDESTE,SÃO PAULO,JBS (EX-BRACOL EX-BERTIN),BIODIESEL,"11342,894"
6786,2010,SET,REGIÃO SUDESTE,SÃO PAULO,JBS (EX-BRACOL EX-BERTIN),BIODIESEL,"9236,328"
6787,2010,JAN,REGIÃO CENTRO-OESTE,GOIÁS,BINATURAL,BIODIESEL,"4618,358"
6788,2010,FEV,REGIÃO CENTRO-OESTE,GOIÁS,BINATURAL,BIODIESEL,"3189,834"
6789,2010,MAR,REGIÃO CENTRO-OESTE,MATO GROSSO,BIO OLEO,BIODIESEL,"244,274"
6790,2010,MAR,REGIÃO SUDESTE,MINAS GERAIS,B 100 (EX-BIOMINAS),BIODIESEL,"541,42"
6791,2010,ABR,REGIÃO SUDESTE,MINAS GERAIS,B 100 (EX-BIOMINAS),BIODIESEL,"202,509"
6792,2010,JAN,REGIÃO SUDESTE,MINAS GERAIS,B 100 (EX-BIOMINAS),BIODIESEL,"691,543"
6793,2010,FEV,REGIÃO SUDESTE,MINAS GERAIS,B 100 (EX-BIOMINAS),BIODIESEL,"659,199"
6794,2010,JAN,REGIÃO SUL,PARANÁ,BIOPAR BIOENERGIA,BIODIESEL,"1514,469"
6795,2010,FEV,REGIÃO SUL,PARANÁ,BIOPAR BIOENERGIA,BIODIESEL,"3473,048"
6796,2010,JUL,REGIÃO SUDESTE,MINAS GERAIS,B 100 (EX-BIOMINAS),BIODIESEL,150
6797,2010,FEV,REGIÃO CENTRO-OESTE,MATO GROSSO,BIOPAR PARECIS,BIODIESEL,"603,521"
6798,2010,MAR,REGIÃO CENTRO-OESTE,MATO GROSSO,BIOPAR PARECIS,BIODIESEL,"566,559"
6799,2010,DEZ,REGIÃO SUL,PARANÁ,BIOPAR BIOENERGIA,BIODIESEL,650
6800,2010,JAN,REGIÃO CENTRO-OESTE,MATO GROSSO,BIOPAR PARECIS,BIODIESEL,"521,4"
6801,2010,ABR,REGIÃO CENTRO-OESTE,MATO GROSSO,BIOPAR PARECIS,BIODIESEL,"419,034"
6802,2010,JUL,REGIÃO CENTRO-OESTE,MATO GROSSO,BIOPAR PARECIS,BIODIESEL,"1378,266"
6803,2010,AGO,REGIÃO CENTRO-OESTE,MATO GROSSO,BIOPAR PARECIS,BIODIESEL,"2096,244"
6804,2010,MAI,REGIÃO CENTRO-OESTE,MATO GROSSO,BIOPAR PARECIS,BIODIESEL,"312,279"
6805,2010,JUN,REGIÃO CENTRO-OESTE,MATO GROSSO,BIOPAR PARECIS,BIODIESEL,"149,528"
6806,2010,MAI,REGIÃO SUL,PARANÁ,BIOPAR BIOENERGIA,BIODIESEL,"1696,35"
6807,2010,JUN,REGIÃO SUL,PARANÁ,BIOPAR BIOENERGIA,BIODIESEL,"2404,218"
6808,2010,MAR,REGIÃO SUL,PARANÁ,BIOPAR BIOENERGIA,BIODIESEL,"3097,899"
6809,2010,ABR,REGIÃO SUL,PARANÁ,BIOPAR BIOENERGIA,BIODIESEL,"2359,583"
6810,2010,JUL,REGIÃO SUL,PARANÁ,BIOPAR BIOENERGIA,BIODIESEL,"1406,67"
6811,2010,OUT,REGIÃO SUL,PARANÁ,BIOPAR BIOENERGIA,BIODIESEL,"1331,401"
6812,2010,NOV,REGIÃO SUL,PARANÁ,BIOPAR BIOENERGIA,BIODIESEL,1300
6813,2010,AGO,REGIÃO SUL,PARANÁ,BIOPAR BIOENERGIA,BIODIESEL,"2150,344"
6814,2010,SET,REGIÃO SUL,PARANÁ,BIOPAR BIOENERGIA,BIODIESEL,2962
6815,2010,MAR,REGIÃO CENTRO-OESTE,MATO GROSSO,BIOCAMP,BIODIESEL,"3972,667"
6816,2010,ABR,REGIÃO CENTRO-OESTE,MATO GROSSO,BIOCAMP,BIODIESEL,"3328,444"
6817,2010,JAN,REGIÃO CENTRO-OESTE,MATO GROSSO,BIOCAMP,BIODIESEL,"2995,503"
6818,2010,FEV,REGIÃO CENTRO-OESTE,MATO GROSSO,BIOCAMP,BIODIESEL,"4156,421"
6819,2010,MAI,REGIÃO CENTRO-OESTE,MATO GROSSO,BIOCAMP,BIODIESEL,"3522,026"
6820,2010,AGO,REGIÃO CENTRO-OESTE,MATO GROSSO,BIOCAMP,BIODIESEL,"2681,484"
