,ANO,MÊS,GRANDE REGIÃO,UNIDADE DA FEDERAÇÃO,PRODUTOR,PRODUTO,PRODUÇÃO
6265,2010,FEV,REGIÃO CENTRO-OESTE,MATO GROSSO,DELTA CUIABA,BIODIESEL,0
6266,2010,FEV,REGIÃO CENTRO-OESTE,MATO GROSSO DO SUL,DELTA BIOCOMBUSTÍVEIS,BIODIESEL,0
6267,2010,FEV,REGIÃO CENTRO-OESTE,MATO GROSSO,GRUPAL (EX-COOAMI),BIODIESEL,0
6268,2010,FEV,REGIÃO CENTRO-OESTE,MATO GROSSO,COOMISA,BIODIESEL,0
6269,2010,FEV,REGIÃO CENTRO-OESTE,MATO GROSSO,COOPERBIO (LUCAS DO RIO VERDE),BIODIESEL,0
6270,2010,FEV,REGIÃO CENTRO-OESTE,MATO GROSSO,COOPERFELIZ,BIODIESEL,0
6271,2010,FEV,REGIÃO CENTRO-OESTE,MATO GROSSO,RENOBRAS,BIODIESEL,0
6272,2010,FEV,REGIÃO CENTRO-OESTE,MATO GROSSO,USIBIO,BIODIESEL,0
6273,2010,FEV,REGIÃO CENTRO-OESTE,MATO GROSSO DO SUL,TECNODIESEL,BIODIESEL,0
6274,2010,FEV,REGIÃO CENTRO-OESTE,GOIÁS,OLFAR,BIODIESEL,0
6275,2010,FEV,REGIÃO CENTRO-OESTE,MATO GROSSO,BIO BRAZILIAN,BIODIESEL,0
6276,2010,FEV,REGIÃO CENTRO-OESTE,GOIÁS,BIONASA,BIODIESEL,0
6277,2010,FEV,REGIÃO CENTRO-OESTE,MATO GROSSO,AGRENCO,BIODIESEL,0
6278,2010,FEV,REGIÃO CENTRO-OESTE,MATO GROSSO,BEIRA RIO,BIODIESEL,0
6279,2010,FEV,REGIÃO CENTRO-OESTE,MATO GROSSO,JBS (EX-BRACOL EX-BERTIN),BIODIESEL,0
6280,2010,FEV,REGIÃO CENTRO-OESTE,MATO GROSSO,ALIANÇA,BIODIESEL,0
6281,2010,FEV,REGIÃO CENTRO-OESTE,MATO GROSSO,BUNGE,BIODIESEL,0
6282,2010,FEV,REGIÃO CENTRO-OESTE,MATO GROSSO DO SUL,CARGILL,BIODIESEL,0
6283,2010,FEV,REGIÃO CENTRO-OESTE,MATO GROSSO,CARAMURU (SORRISO),BIODIESEL,0
