ANO;MÊS;GRANDE REGIÃO;UNIDADE DA FEDERAÇÃO;PRODUTOR;PRODUTO;PRODUÇÃO
2005;NOV;REGIÃO CENTRO-OESTE;MATO GROSSO;FIAGRIL;BIODIESEL;0
2005;DEZ;REGIÃO CENTRO-OESTE;MATO GROSSO;FIAGRIL;BIODIESEL;0
2005;SET;REGIÃO CENTRO-OESTE;MATO GROSSO;FIAGRIL;BIODIESEL;0
2005;OUT;REGIÃO CENTRO-OESTE;MATO GROSSO;FIAGRIL;BIODIESEL;0
2005;SET;REGIÃO SUL;RIO GRANDE DO SUL;FUGA;BIODIESEL;0
2005;OUT;REGIÃO SUL;RIO GRANDE DO SUL;FUGA;BIODIESEL;0
2005;JUL;REGIÃO SUL;RIO GRANDE DO SUL;FUGA;BIODIESEL;0
2005;AGO;REGIÃO SUL;RIO GRANDE DO SUL;FUGA;BIODIESEL;0
2005;NOV;REGIÃO SUL;RIO GRANDE DO SUL;FUGA;BIODIESEL;0
2005;FEV;REGIÃO SUDESTE;RIO DE JANEIRO;GRAN-VALLE;BIODIESEL;0
2005;MAR;REGIÃO SUDESTE;RIO DE JANEIRO;GRAN-VALLE;BIODIESEL;0
2005;DEZ;REGIÃO SUL;RIO GRANDE DO SUL;FUGA;BIODIESEL;0
2005;JAN;REGIÃO SUDESTE;RIO DE JANEIRO;GRAN-VALLE;BIODIESEL;0
2005;DEZ;REGIÃO SUDESTE;SÃO PAULO;FRIGOL;BIODIESEL;0
2005;JAN;REGIÃO SUL;RIO GRANDE DO SUL;FUGA;BIODIESEL;0
2005;OUT;REGIÃO SUDESTE;SÃO PAULO;FRIGOL;BIODIESEL;0
2005;NOV;REGIÃO SUDESTE;SÃO PAULO;FRIGOL;BIODIESEL;0
2005;FEV;REGIÃO SUL;RIO GRANDE DO SUL;FUGA;BIODIESEL;0
2005;MAI;REGIÃO SUL;RIO GRANDE DO SUL;FUGA;BIODIESEL;0
2005;JUN;REGIÃO SUL;RIO GRANDE DO SUL;FUGA;BIODIESEL;0
2005;MAR;REGIÃO SUL;RIO GRANDE DO SUL;FUGA;BIODIESEL;0
2005;ABR;REGIÃO SUL;RIO GRANDE DO SUL;FUGA;BIODIESEL;0
2005;MAI;REGIÃO CENTRO-OESTE;GOIÁS;JATAI;BIODIESEL;0
2005;JUN;REGIÃO CENTRO-OESTE;GOIÁS;JATAI;BIODIESEL;0
2005;MAR;REGIÃO CENTRO-OESTE;GOIÁS;JATAI;BIODIESEL;0
2005;ABR;REGIÃO CENTRO-OESTE;GOIÁS;JATAI;BIODIESEL;0
2005;JUL;REGIÃO CENTRO-OESTE;GOIÁS;JATAI;BIODIESEL;0
2005;OUT;REGIÃO CENTRO-OESTE;GOIÁS;JATAI;BIODIESEL;0
2005;NOV;REGIÃO CENTRO-OESTE;GOIÁS;JATAI;BIODIESEL;0
2005;AGO;REGIÃO CENTRO-OESTE;GOIÁS;JATAI;BIODIESEL;0
2005;SET;REGIÃO CENTRO-OESTE;GOIÁS;JATAI;BIODIESEL;0
2005;AGO;REGIÃO NORDESTE;PIAUÍ;J APARECIDO DOS SANTOS;BIODIESEL;0
2005;SET;REGIÃO NORDESTE;PIAUÍ;J APARECIDO DOS SANTOS;BIODIESEL;0
2005;JUN;REGIÃO NORDESTE;PIAUÍ;J APARECIDO DOS SANTOS;BIODIESEL;0
2005;JUL;REGIÃO NORDESTE;PIAUÍ;J APARECIDO DOS SANTOS;BIODIESEL;0
2005;OUT;REGIÃO NORDESTE;PIAUÍ;J APARECIDO DOS SANTOS;BIODIESEL;0
2005;JAN;REGIÃO CENTRO-OESTE;GOIÁS;JATAI;BIODIESEL;0
2005;FEV;REGIÃO CENTRO-OESTE;GOIÁS;JATAI;BIODIESEL;0
2005;NOV;REGIÃO NORDESTE;PIAUÍ;J APARECIDO DOS SANTOS;BIODIESEL;0
2005;DEZ;REGIÃO NORDESTE;PIAUÍ;J APARECIDO DOS SANTOS;BIODIESEL;0
2005;NOV;REGIÃO CENTRO-OESTE;GOIÁS;MINERVA;BIODIESEL;0
2005;DEZ;REGIÃO CENTRO-OESTE;GOIÁS;MINERVA;BIODIESEL;0
2005;SET;REGIÃO CENTRO-OESTE;GOIÁS;MINERVA;BIODIESEL;0
2005;OUT;REGIÃO CENTRO-OESTE;GOIÁS;MINERVA;BIODIESEL;0
2005;JAN;REGIÃO CENTRO-OESTE;MATO GROSSO;COFCO;BIODIESEL;0
2005;ABR;REGIÃO CENTRO-OESTE;MATO GROSSO;COFCO;BIODIESEL;0
2005;MAI;REGIÃO CENTRO-OESTE;MATO GROSSO;COFCO;BIODIESEL;0
2005;FEV;REGIÃO CENTRO-OESTE;MATO GROSSO;COFCO;BIODIESEL;0
2005;MAR;REGIÃO CENTRO-OESTE;MATO GROSSO;COFCO;BIODIESEL;0
2005;FEV;REGIÃO CENTRO-OESTE;GOIÁS;MINERVA;BIODIESEL;0
2005;MAR;REGIÃO CENTRO-OESTE;GOIÁS;MINERVA;BIODIESEL;0
2005;DEZ;REGIÃO CENTRO-OESTE;GOIÁS;JATAI;BIODIESEL;0
2005;JAN;REGIÃO CENTRO-OESTE;GOIÁS;MINERVA;BIODIESEL;0
2005;ABR;REGIÃO CENTRO-OESTE;GOIÁS;MINERVA;BIODIESEL;0
2005;JUL;REGIÃO CENTRO-OESTE;GOIÁS;MINERVA;BIODIESEL;0
2005;AGO;REGIÃO CENTRO-OESTE;GOIÁS;MINERVA;BIODIESEL;0
2005;MAI;REGIÃO CENTRO-OESTE;GOIÁS;MINERVA;BIODIESEL;0
2005;JUN;REGIÃO CENTRO-OESTE;GOIÁS;MINERVA;BIODIESEL;0
2005;MAI;REGIÃO NORDESTE;PIAUÍ;J APARECIDO DOS SANTOS;BIODIESEL;0
2005;ABR;REGIÃO NORTE;TOCANTINS;GRANOL (PORTO NACIONAL);BIODIESEL;0
2005;MAI;REGIÃO NORTE;TOCANTINS;GRANOL (PORTO NACIONAL);BIODIESEL;0
2005;FEV;REGIÃO NORTE;TOCANTINS;GRANOL (PORTO NACIONAL);BIODIESEL;0
2005;MAR;REGIÃO NORTE;TOCANTINS;GRANOL (PORTO NACIONAL);BIODIESEL;0
2005;JUN;REGIÃO NORTE;TOCANTINS;GRANOL (PORTO NACIONAL);BIODIESEL;0
2005;SET;REGIÃO NORTE;TOCANTINS;GRANOL (PORTO NACIONAL);BIODIESEL;0
2005;OUT;REGIÃO NORTE;TOCANTINS;GRANOL (PORTO NACIONAL);BIODIESEL;0
2005;JUL;REGIÃO NORTE;TOCANTINS;GRANOL (PORTO NACIONAL);BIODIESEL;0
2005;AGO;REGIÃO NORTE;TOCANTINS;GRANOL (PORTO NACIONAL);BIODIESEL;0
2005;JUL;REGIÃO CENTRO-OESTE;GOIÁS;GRANOL (ANÁPOLIS);BIODIESEL;0
2005;AGO;REGIÃO CENTRO-OESTE;GOIÁS;GRANOL (ANÁPOLIS);BIODIESEL;0
2005;MAI;REGIÃO CENTRO-OESTE;GOIÁS;GRANOL (ANÁPOLIS);BIODIESEL;0
2005;JUN;REGIÃO CENTRO-OESTE;GOIÁS;GRANOL (ANÁPOLIS);BIODIESEL;0
2005;SET;REGIÃO CENTRO-OESTE;GOIÁS;GRANOL (ANÁPOLIS);BIODIESEL;0
2005;DEZ;REGIÃO CENTRO-OESTE;GOIÁS;GRANOL (ANÁPOLIS);BIODIESEL;0
2005;JAN;REGIÃO NORTE;TOCANTINS;GRANOL (PORTO NACIONAL);BIODIESEL;0
2005;OUT;REGIÃO CENTRO-OESTE;GOIÁS;GRANOL (ANÁPOLIS);BIODIESEL;0
2005;NOV;REGIÃO CENTRO-OESTE;GOIÁS;GRANOL (ANÁPOLIS);BIODIESEL;0
2005;OUT;REGIÃO SUDESTE;SÃO PAULO;INNOVATTI;BIODIESEL;0
2005;NOV;REGIÃO SUDESTE;SÃO PAULO;INNOVATTI;BIODIESEL;0
2005;AGO;REGIÃO SUDESTE;SÃO PAULO;INNOVATTI;BIODIESEL;0
2005;SET;REGIÃO SUDESTE;SÃO PAULO;INNOVATTI;BIODIESEL;0
2005;DEZ;REGIÃO SUDESTE;SÃO PAULO;INNOVATTI;BIODIESEL;0
2005;MAR;REGIÃO NORDESTE;PIAUÍ;J APARECIDO DOS SANTOS;BIODIESEL;0
2005;ABR;REGIÃO NORDESTE;PIAUÍ;J APARECIDO DOS SANTOS;BIODIESEL;0
2005;JAN;REGIÃO NORDESTE;PIAUÍ;J APARECIDO DOS SANTOS;BIODIESEL;0
2005;FEV;REGIÃO NORDESTE;PIAUÍ;J APARECIDO DOS SANTOS;BIODIESEL;0
2005;JAN;REGIÃO SUDESTE;SÃO PAULO;INNOVATTI;BIODIESEL;0
2005;FEV;REGIÃO SUDESTE;SÃO PAULO;INNOVATTI;BIODIESEL;0
2005;NOV;REGIÃO NORTE;TOCANTINS;GRANOL (PORTO NACIONAL);BIODIESEL;0
2005;DEZ;REGIÃO NORTE;TOCANTINS;GRANOL (PORTO NACIONAL);BIODIESEL;0
